,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,type,lat,long
49564,7180074460,8395,2011.0,subaru,tribeca,good,6 cylinders,gas,91058.0,automatic,wagon,40.0093,-74.9694
49566,7180072132,2495,1997.0,chevrolet,tahoe,good,8 cylinders,gas,177779.0,automatic,wagon,40.0093,-74.9694
49567,7180071962,3995,2006.0,chevrolet,trailblazer,good,6 cylinders,gas,122500.0,automatic,wagon,40.0093,-74.9694
49572,7182576893,5900,2007.0,subaru,outback,good,4 cylinders,gas,177124.0,automatic,wagon,42.8983,-85.8045
49573,7182572684,9800,2011.0,subaru,outback,good,4 cylinders,gas,169722.0,automatic,wagon,42.8983,-85.8045
49583,7182528021,7800,2008.0,volvo,xc70 awd,good,6 cylinders,gas,118482.0,automatic,wagon,42.8983,-85.8045
49597,7192947448,2300,2001.0,chrysler,pt cruiser,like new,4 cylinders,gas,91000.0,automatic,wagon,41.0279,-81.4829
49610,7182438005,6200,2006.0,gmc,yukon xl,good,8 cylinders,gas,165275.0,automatic,wagon,43.0578,-85.6845
49713,7186499645,0,2010.0,nissan,rogue,excellent,4 cylinders,gas,148756.0,automatic,wagon,42.3204,-88.9827
49744,7192493113,7950,2014.0,subaru,impreza premium sport,good,4 cylinders,gas,140000.0,automatic,wagon,41.2111,-81.8416
49827,7185360026,0,2006.0,chrysler,pt cruiser,excellent,4 cylinders,gas,121346.0,automatic,wagon,42.3204,-88.9827
49859,7184580639,0,2011.0,subaru,forester,excellent,4 cylinders,gas,85259.0,automatic,wagon,42.3204,-88.9827
49863,7184357063,3600,2004.0,mazda,mazda6 sport wagon,good,6 cylinders,gas,140800.0,manual,wagon,41.9282,-89.071
49864,7194825898,1895,1994.0,gmc,jimmy 4x4,good,6 cylinders,gas,184487.0,automatic,wagon,38.9861,-95.6878
49890,7186556954,13544,2019.0,kia,soul,excellent,4 cylinders,gas,31964.0,automatic,wagon,41.2464,-81.3585
49968,7193631868,4595,2009.0,chrysler,pt cruiser,like new,4 cylinders,gas,64950.0,automatic,wagon,33.6483,-117.915
49980,7182122732,7995,2013.0,kia,soul,excellent,4 cylinders,gas,85151.0,manual,wagon,43.0575,-85.9546
49981,7186338458,16430,2017.0,hyundai,tucson,good,6 cylinders,gas,38272.0,automatic,wagon,34.7004,-82.4719
49988,7181613079,6995,2006.0,toyota,rav4,excellent,4 cylinders,gas,164613.0,automatic,wagon,43.3021,-88.3765
50019,7186267381,3995,2004.0,mercedes-benz,e class e320 wagon,excellent,6 cylinders,gas,159607.0,automatic,wagon,34.8533,-82.4493
50064,7182670434,2988,2007.0,subaru,impreza wagon sp ed,excellent,4 cylinders,gas,225722.0,automatic,wagon,44.9601,-92.7309
50097,7182961209,17000,2015.0,ford,explorer,excellent,4 cylinders,gas,104527.0,automatic,wagon,42.7798,-86.068
50133,7193431967,4600,2004.0,subaru,outback,good,4 cylinders,gas,138600.0,automatic,wagon,34.235,-116.905
50173,7185946170,18500,2016.0,volkswagen,golf tdi,excellent,4 cylinders,gas,7600.0,automatic,wagon,34.7512,-82.255
50177,7188217558,5450,2009.0,volvo,v50,excellent,5 cylinders,gas,136984.0,automatic,wagon,31.0777,-97.6889
50245,7181842115,8495,2010.0,subaru,outback,excellent,4 cylinders,gas,179888.0,automatic,wagon,38.6119,-121.424
50248,7193090827,0,2019.0,nissan,kicks,excellent,4 cylinders,gas,39478.0,automatic,wagon,39.1301,-84.601
50290,7181639257,5999,2006.0,mazda,mazda3,excellent,4 cylinders,gas,118000.0,manual,wagon,38.615,-121.272
50338,7181298313,9911,2011.0,kia,forte sx,excellent,4 cylinders,gas,90051.0,automatic,wagon,40.4574,-122.328
50348,7193005469,0,2020.0,mitsubishi,outlander sport,new,4 cylinders,gas,10.0,automatic,wagon,39.2837,-84.475
50357,7188894056,9995,2014.0,subaru,forester,excellent,4 cylinders,gas,146834.0,automatic,wagon,42.8358,-85.6642
50358,7192952227,6000,2008.0,chevrolet,hhr ss,excellent,4 cylinders,gas,143500.0,automatic,wagon,39.2593,-84.1474
50368,7192763511,4500,2007.0,volvo,xc70,excellent,5 cylinders,gas,228803.0,automatic,wagon,38.9406,-84.3943
50543,7188618139,13900,2014.0,subaru,forester limited,excellent,4 cylinders,gas,113145.0,automatic,wagon,42.8356,-85.6642
50558,7191780625,0,2020.0,mitsubishi,eclipse cross,new,4 cylinders,gas,10.0,automatic,wagon,39.2837,-84.475
50572,7188614370,4995,2002.0,subaru,forester s,excellent,4 cylinders,gas,168339.0,automatic,wagon,42.8356,-85.6641
50574,7188612371,12900,2014.0,subaru,outback limited,excellent,4 cylinders,gas,128013.0,automatic,wagon,42.8355,-85.6642
50577,7188609601,11900,2013.0,subaru,outback limited,excellent,4 cylinders,gas,139302.0,automatic,wagon,42.8356,-85.6642
50579,7188607759,13900,2014.0,subaru,forester touring,excellent,4 cylinders,gas,117571.0,automatic,wagon,42.8359,-85.6643
50581,7188603547,9995,2015.0,subaru,forester premium,excellent,4 cylinders,gas,168342.0,automatic,wagon,42.8356,-85.6644
50582,7188601157,4995,2010.0,subaru,outback premium,excellent,4 cylinders,gas,190968.0,automatic,wagon,42.8356,-85.6641
50586,7188598776,9995,2009.0,subaru,forester premium,excellent,4 cylinders,gas,93262.0,automatic,wagon,42.8357,-85.6644
50653,7192969415,0,2005.0,ford,escape,good,6 cylinders,gas,131453.0,automatic,wagon,41.255,-82.6115
50659,7192936255,4200,2009.0,nissan,cube,excellent,4 cylinders,gas,117000.0,automatic,wagon,41.4735,-81.7398
50689,7185454872,3200,2005.0,audi,a4 quattro,excellent,4 cylinders,gas,194000.0,automatic,wagon,40.5813,-105.104
50712,7192568066,1,1954.0,chevrolet,handyman wagon,good,6 cylinders,gas,35000.0,manual,wagon,41.3809,-81.6642
50826,7191565452,7900,2012.0,jeep,compass,good,4 cylinders,gas,83116.0,automatic,wagon,41.3847,-81.8467
50838,7190921422,4995,2005.0,subaru,legacy wagon (natl),excellent,4 cylinders,gas,211274.0,automatic,wagon,45.5319,-122.579
50904,7188350415,13995,2016.0,subaru,outback 2.5i limited,excellent,4 cylinders,gas,160000.0,automatic,wagon,42.8062,-86.0584
50960,7193098818,5995,2013.0,subaru,outback limited,like new,4 cylinders,gas,101000.0,automatic,wagon,39.956,-82.7714
50999,7190063876,5300,2004.0,volkswagen,jetta gls wagon,good,4 cylinders,diesel,171600.0,automatic,wagon,44.9026,-122.907
51044,7193095086,2995,2004.0,chevrolet,malibu maxx lt,like new,6 cylinders,gas,152000.0,automatic,wagon,39.956,-82.7714
51049,7193347112,8500,2002.0,subaru,impreza wrx,good,4 cylinders,gas,206000.0,manual,wagon,34.2437,-116.911
51053,7182989025,3750,2005.0,subaru,outback 2.5i,good,4 cylinders,gas,213434.0,automatic,wagon,40.3355,-104.924
51157,7190317040,8995,2013.0,nissan,rogue,excellent,4 cylinders,gas,112900.0,automatic,wagon,41.2649,-74.8883
51199,7191285337,5200,2006.0,ford,full size wheelchair van,good,8 cylinders,gas,180564.0,automatic,wagon,38.8502,-77.1448
51211,7190323636,8995,2013.0,nissan,rogue,excellent,4 cylinders,gas,112900.0,automatic,wagon,41.2649,-74.8883
51260,7184478843,3100,1995.0,subaru,legacy wagon,good,4 cylinders,gas,131000.0,manual,wagon,39.6242,-106.497
51281,7190324061,8995,2013.0,nissan,rogue,excellent,4 cylinders,gas,112900.0,automatic,wagon,41.2649,-74.8883
51324,7191533727,1375,2002.0,volkswagen,passat wagon,good,6 cylinders,gas,180000.0,manual,wagon,39.9671,-75.5817
51337,7185416092,7990,2013.0,subaru,outback premium 2.5i,good,4 cylinders,gas,182000.0,automatic,wagon,35.002,-81.9492
51352,7179716716,6900,2013.0,volkswagen,jetta sportwagen,good,5 cylinders,gas,138268.0,automatic,wagon,42.1898,-91.7758
51366,7194148656,9950,2013.0,jeep,patriot,good,4 cylinders,gas,123993.0,automatic,wagon,38.6926,-82.8577
51371,7194148037,8950,2013.0,jeep,patriot,good,4 cylinders,gas,137427.0,automatic,wagon,38.6926,-82.8577
51390,7194143848,24950,2016.0,jeep,wrangler,good,6 cylinders,gas,45706.0,automatic,wagon,38.6926,-82.8577
51431,7190880146,0,2016.0,nissan,rogue,good,4 cylinders,gas,105810.0,automatic,wagon,39.9063,-75.2772
51435,7190860244,17000,2014.0,bmw,328i xdrive wagon,excellent,4 cylinders,gas,79000.0,automatic,wagon,40.3339,-74.7944
51520,7187783831,8400,2012.0,subaru,outback,excellent,4 cylinders,gas,182000.0,automatic,wagon,38.7349,-108.06
51548,7195140427,14000,2017.0,volkswagen,golf sportwagen,excellent,4 cylinders,gas,94000.0,automatic,wagon,34.003,-118.43
51781,7182420614,2000,2007.0,subaru,forester,fair,4 cylinders,gas,149000.0,automatic,wagon,45.7423,-87.0608
51797,7183714298,24500,2018.0,ford,transit connect,like new,4 cylinders,gas,23250.0,automatic,wagon,39.0157,-108.613
51826,7184666828,10900,2017.0,subaru,impreza,like new,4 cylinders,gas,49100.0,automatic,wagon,34.8857,-81.9861
51860,7189699718,2000,1988.0,volvo,740 turbo,good,6 cylinders,gas,291500.0,automatic,wagon,34.4037,-119.706
