,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,type,lat,long
22088,7184250240,21999,2003.0,ford,f350 xlt 4x4 diesel,excellent,8 cylinders,diesel,134159.0,automatic,truck,38.7046,-121.272
22100,7188256230,8000,1983.0,ford,f350,good,8 cylinders,gas,112000.0,manual,truck,40.0846,-75.7711
22119,7192377688,23995,2015.0,chevrolet,silverado 1500,excellent,6 cylinders,gas,84478.0,automatic,truck,44.5204,-88.0665
22129,7192087381,2500,2005.0,gmc,sierra,fair,8 cylinders,gas,235.0,automatic,truck,44.482,-88.0205
22130,7184248023,25999,2000.0,ford,f350 xlt 4x4 7.3 diesel,excellent,8 cylinders,diesel,84120.0,automatic,truck,38.7046,-121.272
22131,7189553961,18900,2007.0,ram,3500,good,6 cylinders,diesel,111100.0,automatic,truck,34.4666,-85.3589
22132,7189553547,22900,2013.0,chevrolet,silverado 3500hd,good,8 cylinders,diesel,210000.0,automatic,truck,34.4666,-85.3589
22146,7194511969,7999,1997.0,ford,f150 lariat,good,8 cylinders,gas,163764.0,automatic,truck,42.3345,-122.874
22148,7190441107,14000,2009.0,toyota,tacoma double cab sr5,excellent,6 cylinders,gas,111000.0,automatic,truck,35.9872,-106.072
22150,7190440429,16000,2008.0,toyota,tacoma double cab sr5,excellent,6 cylinders,gas,135695.0,manual,truck,35.9872,-106.072
22160,7186698482,23999,2011.0,chevrolet,3500 4dr work truck,excellent,8 cylinders,gas,88614.0,automatic,truck,38.7046,-121.272
22185,7194299054,12950,2007.0,ford,f-350,excellent,8 cylinders,diesel,162547.0,automatic,truck,43.5752,-116.557
22191,7194266286,3800,1994.0,ford,super duty.,good,8 cylinders,gas,270300.0,manual,truck,43.8975,-116.502
22198,7194207242,1200,1982.0,nissan,720 truck,fair,4 cylinders,diesel,250000.0,manual,truck,43.708,-116.751
22209,7186698034,32999,2013.0,chevrolet,silverado 3500 utility,excellent,8 cylinders,gas,78462.0,automatic,truck,38.7046,-121.272
22229,7188225427,31500,2012.0,ford,f250,good,8 cylinders,diesel,135500.0,automatic,truck,34.0878,-86.9447
22242,7189804651,14995,2010.0,ford,f-150,good,8 cylinders,gas,187861.0,automatic,truck,30.8031,-88.1409
22243,7189804287,19995,2012.0,ram,1500,good,8 cylinders,gas,106340.0,automatic,truck,30.8031,-88.1409
22245,7189803630,22995,2014.0,gmc,sierra 2500hd,good,8 cylinders,gas,95720.0,automatic,truck,30.8031,-88.1409
22247,7189802931,28995,2015.0,toyota,tundra 2wd truck,good,8 cylinders,gas,94303.0,automatic,truck,30.8031,-88.1409
22251,7189801557,24995,2014.0,ram,2500,good,8 cylinders,gas,192793.0,automatic,truck,30.8031,-88.1409
22252,7189791335,17500,2014.0,ford,f150,excellent,6 cylinders,gas,129000.0,automatic,truck,30.7941,-88.0796
