,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,type,lat,long
56039,7193408134,6499,2008.0,honda,pilot,excellent,6 cylinders,gas,232660.0,automatic,SUV,37.6098,-120.995
56045,7192063941,3700,2005.0,honda,cr-v,good,4 cylinders,gas,233000.0,automatic,SUV,35.7116,-94.9132
56048,7182492471,8000,2008.0,toyota,rav4,good,6 cylinders,gas,175000.0,automatic,SUV,44.0105,-92.3973
56049,7186742751,16900,2015.0,ford,explorer sport,excellent,6 cylinders,gas,83807.0,automatic,SUV,35.0054,-80.2829
56061,7193331645,2000,2002.0,lincoln,navigator,good,8 cylinders,gas,274000.0,automatic,SUV,37.0627,-120.854
56065,7185936683,15285,2016.0,volkswagen,tiguan,excellent,4 cylinders,gas,40369.0,automatic,SUV,41.2464,-81.3585
56067,7185931561,17977,2017.0,hyundai,santa fe sport,excellent,4 cylinders,gas,60766.0,automatic,SUV,41.2464,-81.3585
56069,7182310433,11500,2015.0,jeep,cherokee limited,good,6 cylinders,gas,155600.0,automatic,SUV,43.9923,-92.541
56071,7182265646,6995,2006.0,jeep,grand cherokee limited,good,8 cylinders,gas,111000.0,automatic,SUV,44.0105,-92.3973
56075,7194559057,4700,2008.0,chevrolet,trailblazer,good,6 cylinders,gas,131000.0,automatic,SUV,39.3746,-76.8002
56078,7182226244,8750,2010.0,toyota,rav4,good,4 cylinders,gas,118000.0,automatic,SUV,44.0105,-92.3973
56087,7182139054,3999,2008.0,buick,enclave,excellent,6 cylinders,gas,200218.0,automatic,SUV,42.4845,-92.325
56097,7185800569,7500,2008.0,ford,expedition,good,8 cylinders,gas,149000.0,automatic,SUV,41.0334,-81.4385
56098,7185797430,10200,2012.0,jeep,liberty,excellent,6 cylinders,gas,74653.0,automatic,SUV,40.7873,-81.2826
56110,7191817062,0,2020.0,cadillac,escalade,excellent,8 cylinders,gas,23474.0,automatic,SUV,34.9007,-95.752
56114,7191786358,5500,2011.0,gmc,acadia,excellent,6 cylinders,gas,155145.0,automatic,SUV,36.745,-95.9325
56115,7191779756,0,2015.0,cadillac,escalade,excellent,8 cylinders,gas,60635.0,automatic,SUV,36.7214,-95.9352
56120,7194921655,15500,2011.0,rover,sport,excellent,8 cylinders,gas,94694.0,automatic,SUV,29.5551,-98.7442
56131,7191693268,3499,2005.0,toyota,highlander,good,4 cylinders,gas,249000.0,automatic,SUV,36.0467,-95.8841
56133,7191582249,2500,2007.0,nissan,xterra,fair,6 cylinders,gas,1900000.0,automatic,SUV,36.1754,-95.9112
56137,7186604068,20500,2017.0,chevrolet,traverse,excellent,6 cylinders,gas,41000.0,automatic,SUV,39.7761,-85.8963
56147,7186563243,18900,2015.0,infiniti,qx60 awd,excellent,6 cylinders,gas,64593.0,automatic,SUV,39.9785,-86.1173
56151,7186535384,2400,2001.0,ford,explorer xlt,good,6 cylinders,gas,120000.0,automatic,SUV,39.2953,-85.9498
56152,7191487271,14499,2016.0,jeep,cherokee,like new,4 cylinders,gas,78100.0,automatic,SUV,36.1474,-95.8611
56158,7186526755,6500,2004.0,chevrolet,avalanche,excellent,8 cylinders,gas,200000.0,automatic,SUV,39.2953,-85.9498
56163,7194890974,17000,2013.0,chevrolet,tahoe,good,8 cylinders,gas,152266.0,automatic,SUV,30.0416,-99.1408
56166,7186470865,15987,2019.0,kia,soul,like new,4 cylinders,gas,30910.0,automatic,SUV,39.7835,-85.8063
56167,7194887814,22900,2014.0,bmw,x5 xdrive5.0i,excellent,8 cylinders,gas,96659.0,automatic,SUV,29.4855,-98.4993
56169,7186407282,18990,2014.0,lincoln,mkx elite awd,like new,6 cylinders,gas,81512.0,automatic,SUV,39.9654,-86.1345
56170,7185519354,3450,2005.0,volvo,xc90,good,5 cylinders,gas,193638.0,automatic,SUV,41.1243,-81.2421
56171,7185518382,5950,2009.0,chevrolet,traverse,good,6 cylinders,gas,143000.0,automatic,SUV,41.1243,-81.2421
56172,7185517384,3450,2008.0,dodge,durango sxt,good,8 cylinders,gas,131340.0,automatic,SUV,41.1243,-81.2421
56173,7186391303,21990,2011.0,chevrolet,avalanche ltz,like new,8 cylinders,gas,83954.0,automatic,SUV,39.9653,-86.1346
56177,7186292053,16300,2011.0,cadillac,srx4,excellent,6 cylinders,gas,41200.0,automatic,SUV,39.8458,-86.2922
56178,7186287409,8500,2006.0,mercedes-benz,ml500 4matic,good,8 cylinders,gas,92308.0,automatic,SUV,39.9744,-86.0829
56179,7186263798,16000,2006.0,jeep,wrangler unlimited,good,6 cylinders,gas,103000.0,automatic,SUV,39.7154,-86.0933
56180,7194440778,3995,2007.0,ford,explorer xlt,excellent,6 cylinders,gas,174000.0,automatic,SUV,38.8682,-76.8156
56183,7186243391,4800,2007.0,bmw,x5,new,6 cylinders,gas,170994.0,automatic,SUV,39.849,-86.272
56186,7181743137,7995,2013.0,kia,soul base,excellent,4 cylinders,gas,137260.0,automatic,SUV,44.057,-92.4544
56187,7194882494,3699,2008.0,mazda,cx-7,good,6 cylinders,gas,199000.0,automatic,SUV,29.3506,-98.5162
56190,7183054115,3000,1997.0,chevrolet,suburban,good,8 cylinders,gas,170000.0,automatic,SUV,44.4128,-94.9303
56193,7182943539,8900,2016.0,kia,soul +,excellent,4 cylinders,gas,71267.0,automatic,SUV,44.7776,-96.461
56195,7186207501,13500,2008.0,toyota,fj cruiser,good,6 cylinders,gas,158000.0,manual,SUV,39.8647,-86.1181
56197,7186192683,3400,2006.0,hyundai,tucson limited fwd,good,6 cylinders,gas,149000.0,automatic,SUV,39.7774,-85.933
56208,7186175656,15495,2008.0,toyota,sequoia,excellent,8 cylinders,gas,167534.0,automatic,SUV,39.6847,-86.133
56210,7194874827,7995,2012.0,jeep,liberty limited jet,excellent,6 cylinders,gas,111103.0,automatic,SUV,29.4885,-98.5022
56211,7186149051,2300,2004.0,dodge,durango,good,8 cylinders,gas,199000.0,automatic,SUV,39.7902,-85.8141
56213,7182923723,8900,2016.0,kia,soul +,excellent,4 cylinders,gas,71267.0,automatic,SUV,44.7781,-96.461
56229,7182323508,16995,2018.0,nissan,rogue,like new,4 cylinders,gas,36259.0,automatic,SUV,45.8331,-95.3879
56230,7182315937,19995,2019.0,chevrolet,equinox lt,excellent,4 cylinders,gas,34262.0,automatic,SUV,45.8331,-95.3879
56233,7194267730,2500,2006.0,mercury,mountaineer,good,4 cylinders,gas,194000.0,automatic,SUV,39.2876,-76.5568
56237,7186042264,11990,2012.0,kia,sorento ex,excellent,4 cylinders,gas,79332.0,automatic,SUV,39.9652,-86.1346
56239,7185998421,21997,2016.0,toyota,highlander,excellent,4 cylinders,gas,58941.0,automatic,SUV,40.0446,-86.4697
56240,7185998216,18997,2013.0,jeep,grand cherokee,like new,6 cylinders,gas,70589.0,automatic,SUV,40.0446,-86.4697
56241,7185998008,5997,2007.0,toyota,rav4,excellent,6 cylinders,gas,225999.0,automatic,SUV,40.0446,-86.4697
56242,7182239654,4990,2003.0,chevrolet,tahoe,excellent,8 cylinders,gas,207000.0,automatic,SUV,46.45,-95.1247
56246,7185997188,12997,2013.0,volkswagen,tiguan,like new,4 cylinders,gas,43135.0,automatic,SUV,40.0446,-86.4697
56251,7185996344,13997,2015.0,kia,sportage,excellent,4 cylinders,gas,55513.0,automatic,SUV,40.0446,-86.4697
56253,7185996141,13997,2015.0,mitsubishi,outlander sport,like new,4 cylinders,gas,37229.0,automatic,SUV,40.0446,-86.4697
56254,7185995154,6450,2006.0,jeep,commander,excellent,8 cylinders,gas,150000.0,automatic,SUV,40.0742,-85.6069
56255,7185981725,13450,2016.0,jeep,cherokee sport,excellent,4 cylinders,gas,63000.0,automatic,SUV,40.4204,-86.766
56256,7185973307,16300,2014.0,mercedes-benz,benz,excellent,6 cylinders,gas,109000.0,automatic,SUV,40.4204,-86.766
56273,7190594827,6999,2010.0,dodge,nitro,excellent,6 cylinders,gas,125127.0,automatic,SUV,35.8398,-86.3869
56291,7185536872,16997,2017.0,dodge,journey,like new,6 cylinders,gas,43579.0,automatic,SUV,40.0446,-86.4697
56292,7185536665,18997,2017.0,chevrolet,equinox,excellent,4 cylinders,gas,26018.0,automatic,SUV,40.0446,-86.4697
56293,7185536497,20997,2015.0,cadillac,srx,excellent,6 cylinders,gas,70849.0,automatic,SUV,40.0446,-86.4697
56294,7185536342,15997,2013.0,gmc,acadia,excellent,6 cylinders,gas,80759.0,automatic,SUV,40.0446,-86.4697
56297,7185535808,17997,2015.0,ford,escape,excellent,4 cylinders,gas,44519.0,automatic,SUV,40.0446,-86.4697
56300,7185535328,18997,2017.0,ford,escape,like new,4 cylinders,gas,64241.0,automatic,SUV,40.0446,-86.4697
56303,7185534780,22700,2017.0,honda,cr-v,like new,4 cylinders,gas,57499.0,automatic,SUV,40.0446,-86.4697
56305,7185534597,20997,2017.0,honda,cr-v,like new,4 cylinders,gas,69179.0,automatic,SUV,40.0446,-86.4697
56307,7185526646,16900,2008.0,toyota,sequoia,excellent,8 cylinders,gas,99000.0,automatic,SUV,39.8689,-85.9765
56311,7190453246,41675,2019.0,toyota,highlander,good,6 cylinders,gas,14712.0,automatic,SUV,36.1504,-86.7014
56316,7185496063,5998,2010.0,nissan,rogue,good,4 cylinders,gas,150000.0,automatic,SUV,39.9642,-86.1317
56317,7185479513,5995,2005.0,nissan,pathfinder,excellent,6 cylinders,gas,139909.0,automatic,SUV,39.6844,-86.1327
56320,7181796261,17400,2016.0,honda,pilot ex 4wd,excellent,6 cylinders,gas,119000.0,automatic,SUV,45.3877,-94.0452
56321,7181593601,17500,2016.0,chevrolet,eqiunox,good,6 cylinders,gas,39725.0,automatic,SUV,45.7231,-94.9572
56323,7185429515,6450,2012.0,jeep,liberty 4x4,excellent,6 cylinders,gas,191000.0,automatic,SUV,40.0742,-85.6069
56339,7185282734,3000,2007.0,jeep,liberty,good,6 cylinders,gas,197000.0,automatic,SUV,39.4776,-86.4668
56342,7185266033,2650,2001.0,chevrolet,blazer,good,6 cylinders,gas,163300.0,automatic,SUV,39.6782,-86.1976
56344,7185303200,8990,2012.0,ford,escape xlt 4x4,excellent,4 cylinders,gas,80439.0,automatic,SUV,40.9235,-81.1348
56351,7194051514,3500,2004.0,bmw,x5,excellent,6 cylinders,gas,162000.0,automatic,SUV,39.3365,-76.5411
56354,7181883283,18000,2008.0,jeep,wrangl,excellent,6 cylinders,gas,92200.0,automatic,SUV,30.3962,-89.0353
56355,7185294532,9700,2013.0,hyundai,tucson limited awd,excellent,4 cylinders,gas,131916.0,automatic,SUV,40.9235,-81.1348
56356,7185291602,9400,2012.0,hyundai,santa fe limited,excellent,6 cylinders,gas,105889.0,automatic,SUV,40.9235,-81.1348
56359,7193912334,6500,2001.0,jeep,wrangler sport,excellent,6 cylinders,gas,247000.0,automatic,SUV,39.2295,-77.0375
56361,7181241492,5600,2004.0,lexus,rx330,excellent,6 cylinders,gas,203000.0,automatic,SUV,30.4752,-89.3331
56363,7181062137,17500,2016.0,volvo,xc60,excellent,5 cylinders,gas,85000.0,automatic,SUV,30.3662,-89.1407
56365,7185130018,20000,2014.0,gmc,yukon denali,excellent,8 cylinders,gas,84000.0,automatic,SUV,39.8294,-85.9036
56367,7185064651,15900,2015.0,jeep,renegade,good,4 cylinders,gas,49621.0,automatic,SUV,40.5482,-85.6747
56378,7182702477,15800,2014.0,audi,q7 premium plus,excellent,6 cylinders,gas,135948.0,automatic,SUV,32.2506,-90.1316
56387,7185154194,14850,2011.0,chevrolet,tahoe,excellent,8 cylinders,gas,129264.0,automatic,SUV,41.2464,-81.3585
56388,7182129828,7995,2009.0,nissan,murano,excellent,6 cylinders,gas,128650.0,automatic,SUV,32.2784,-90.1476
56390,7193515647,7999,1989.0,dodge,raider,excellent,6 cylinders,gas,96861.0,manual,SUV,39.3914,-76.4871
56391,7185105965,5700,2003.0,toyota,highlander,good,6 cylinders,gas,188100.0,automatic,SUV,41.1464,-81.5107
56397,7193406219,2500,2004.0,chevrolet,trailblazer 4x4,good,6 cylinders,gas,193000.0,automatic,SUV,39.336,-76.402
56398,7192887295,5495,2003.0,jeep,grand cherokee,good,6 cylinders,gas,109000.0,automatic,SUV,39.5642,-76.9807
56399,7186420573,3500,2001.0,gmc,yukon,good,6 cylinders,gas,160000.0,automatic,SUV,39.395,-76.5104
56400,7184918169,2200,2008.0,subaru,forester,fair,4 cylinders,gas,208000.0,automatic,SUV,41.1025,-81.5386
56401,7184897299,2000,2005.0,buick,rendezvous,good,6 cylinders,gas,184000.0,automatic,SUV,40.6888,-81.1799
56403,7181674475,5700,2008.0,mazda,cx7 grand touring awd,good,4 cylinders,gas,149000.0,automatic,SUV,33.5159,-90.1726
56408,7181412089,15900,2011.0,chevrolet,suburban ltz 1500,excellent,8 cylinders,gas,155850.0,automatic,SUV,32.3543,-90.8819
56412,7193578624,8900,2000.0,ford,excursion,good,10 cylinders,gas,136922.0,automatic,SUV,40.2887,-77.8749
56417,7183009407,14573,2016.0,jeep,patriot,excellent,4 cylinders,gas,79579.0,automatic,SUV,35.172,-89.9438
56419,7183009152,12983,2013.0,ford,edge,excellent,6 cylinders,gas,110247.0,automatic,SUV,35.172,-89.9438
56422,7184835240,8200,2010.0,honda,crv,like new,4 cylinders,gas,131000.0,automatic,SUV,40.8172,-81.4649
56425,7182449601,42700,2019.0,jeep,grand cherokee,like new,6 cylinders,gas,17775.0,automatic,SUV,33.4505,-88.8196
56431,7179716285,3500,2004.0,ford,explorer xlt,good,6 cylinders,gas,159000.0,automatic,SUV,39.7423,-89.77
56432,7181673818,5700,2008.0,mazda,cx7 grand touring awd,good,4 cylinders,gas,149000.0,automatic,SUV,33.5159,-90.1726
56435,7181406916,16483,2015.0,ford,flex,excellent,6 cylinders,gas,102539.0,automatic,SUV,35.172,-89.9438
56438,7184761038,18036,2015.0,lincoln,mkc,excellent,4 cylinders,gas,65576.0,automatic,SUV,41.2464,-81.3585
56440,7184759954,10900,2010.0,bmw,x5,excellent,6 cylinders,diesel,146742.0,automatic,SUV,41.0253,-81.6998
