,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,type,lat,long
57022,7187193088,2900,2007.0,hyundai,accent,like new,4 cylinders,gas,94000.0,automatic,hatchback,40.2074,-85.4268
57136,7184819095,5000,2009.0,toyota,corolla,excellent,4 cylinders,gas,139000.0,automatic,hatchback,33.9135,-84.6859
57151,7184273527,11000,2016.0,kia,soul + automatic,excellent,4 cylinders,gas,51000.0,automatic,hatchback,33.4188,-86.7867
57156,7194247806,41994,2018.0,chevrolet,tahoe lt,good,8 cylinders,other,27484.0,automatic,hatchback,29.1715,-98.1872
57185,7182534837,13000,2017.0,kia,forte,excellent,4 cylinders,gas,45000.0,automatic,hatchback,45.614,-108.387
57311,7186430392,4500,2010.0,toyota,yaris,excellent,4 cylinders,gas,129000.0,automatic,hatchback,31.5748,-85.537
57324,7185612648,2995,2008.0,toyota,yaris,good,4 cylinders,gas,244000.0,automatic,hatchback,30.8085,-85.0347
57359,7185755006,14000,2014.0,lexus,ct 200h hybrid,good,4 cylinders,electric,65904.0,automatic,hatchback,29.0477,-80.9364
57435,7187048821,1200,2001.0,ford,focus zx3,fair,4 cylinders,gas,121000.0,automatic,hatchback,41.7015,-86.2949
57437,7186223585,10000,2003.0,subaru,impreza wrx,good,4 cylinders,gas,133000.0,manual,hatchback,33.4653,-86.8082
57443,7186978305,5900,2014.0,ford,focus se hatchback,excellent,4 cylinders,gas,50839.0,automatic,hatchback,41.6763,-85.9621
57448,7184102554,10990,2012.0,toyota,prius,excellent,4 cylinders,hybrid,54300.0,automatic,hatchback,34.2145,-86.168
57474,7187831283,27500,2015.0,volkswagen,golf r,excellent,4 cylinders,gas,21000.0,automatic,hatchback,34.6679,-86.5603
57512,7179596045,0,2008.0,gmc,acadia sle1,good,6 cylinders,gas,143882.0,automatic,hatchback,31.7896,-106.394
57521,7179541346,0,2016.0,gmc,terrain sle,good,6 cylinders,other,85943.0,automatic,hatchback,31.7896,-106.394
57544,7194891942,5500,2012.0,honda,fit,good,4 cylinders,gas,119800.0,manual,hatchback,42.3623,-71.185
57564,7194936619,0,2017.0,chevrolet,lt sonic hatchback,excellent,4 cylinders,gas,119590.0,automatic,hatchback,37.7024,-121.072
57586,7179299213,0,2016.0,gmc,terrain slt,good,6 cylinders,other,0.0,automatic,hatchback,31.7896,-106.394
57635,7188713298,5500,2013.0,toyota,prius,good,4 cylinders,hybrid,186000.0,other,hatchback,31.6683,-97.1462
57695,7194836262,2995,2005.0,toyota,prius,excellent,4 cylinders,hybrid,205000.0,automatic,hatchback,42.5485,-70.8848
57721,7194833887,2995,2006.0,chevrolet,malibu maxx ltz,excellent,6 cylinders,gas,167000.0,automatic,hatchback,41.9835,-70.6998
57752,7186399597,12000,2018.0,ford,forests,like new,4 cylinders,gas,15000.0,automatic,hatchback,34.2199,-86.9032
57802,7189286393,2795,2008.0,hyundai,accent gs,excellent,4 cylinders,gas,117290.0,manual,hatchback,40.7548,-111.881
57804,7181535043,3999,2005.0,saturn,vue,good,4 cylinders,gas,169000.0,manual,hatchback,47.1978,-114.9
57810,7181488316,20980,2017.0,mini,cooper cooper,excellent,8 cylinders,gas,27445.0,automatic,hatchback,47.7177,-117.412
57812,7181475367,18999,2020.0,mitsubishi,mirage es,excellent,4 cylinders,gas,9.0,automatic,hatchback,47.7177,-117.412
57844,7189678832,6500,2012.0,toyota,prius c,good,4 cylinders,hybrid,99500.0,automatic,hatchback,35.1828,-101.838
57852,7194065219,4400,2007.0,volkswagen,gti,good,4 cylinders,gas,138000.0,automatic,hatchback,29.5894,-98.5201
57854,7194803423,6995,2006.0,subaru,impreza 2.5i awd wagon,excellent,4 cylinders,gas,93000.0,automatic,hatchback,42.1293,-70.9133
57895,7182715027,7495,2014.0,mazda,2,excellent,4 cylinders,gas,69400.0,manual,hatchback,35.7126,-82.5491
57904,7185178002,8499,2014.0,chevrolet,volt lt,good,4 cylinders,hybrid,100899.0,automatic,hatchback,29.4628,-81.2561
57912,7182348395,13995,2015.0,subaru,cosstrek,good,4 cylinders,gas,111000.0,automatic,hatchback,36.1954,-81.6528
57952,7185903784,6400,2009.0,honda,fit sport,good,4 cylinders,gas,82350.0,automatic,hatchback,34.7084,-86.7067
58008,7191410871,5899,2014.0,nissan,versa,like new,4 cylinders,gas,88000.0,automatic,hatchback,30.231,-97.714
58029,7191406829,6699,2009.0,honda,fit,excellent,4 cylinders,gas,86000.0,automatic,hatchback,30.231,-97.714
58034,7191402630,6899,2017.0,mitsubishi,mirage,like new,4 cylinders,gas,23000.0,automatic,hatchback,30.231,-97.714
58068,7194582701,10900,2019.0,mitsubishi,mirage es,excellent,3 cylinders,gas,10425.0,automatic,hatchback,37.4938,-120.845
58105,7193723452,5000,2009.0,pontiac,vibe gt,excellent,4 cylinders,gas,90000.0,automatic,hatchback,29.8754,-97.9404
58108,7193584436,1995,2005.0,chrysler,pt cruiser,excellent,4 cylinders,gas,82691.0,manual,hatchback,42.6275,-71.3173
58133,7191307500,5000,2009.0,pontiac,vibe gt,excellent,4 cylinders,gas,90000.0,automatic,hatchback,29.8754,-97.9404
58135,7194430763,4500,2008.0,honda,fit ex,excellent,4 cylinders,gas,176501.0,automatic,hatchback,37.3885,-120.669
