,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,type,lat,long
7071,7194377622,5800,1978.0,volkswagen,super beetle convertible,good,4 cylinders,gas,85000.0,manual,convertible,43.2196,-77.4616
7133,7189737256,0,2016.0,ford,mustang convertible,excellent,6 cylinders,gas,67365.0,automatic,convertible,28.0982,-80.6728
7141,7191766558,12500,1990.0,chevrolet,corvette,excellent,6 cylinders,gas,25900.0,automatic,convertible,38.192,-85.785
7144,7192996663,9950,2008.0,bmw,328i convertible,excellent,6 cylinders,gas,103613.0,automatic,convertible,38.4733,-78.8716
7154,7189721434,5995,2001.0,chevrolet,camero,excellent,6 cylinders,gas,85467.0,automatic,convertible,44.066,-123.139
7195,7191402846,4000,2004.0,ford,mustang,excellent,6 cylinders,gas,111000.0,automatic,convertible,36.1031,-79.7957
7220,7189584820,10000,1987.0,ford,mustang gt convertible 2d,good,8 cylinders,gas,148000.0,automatic,convertible,28.2421,-80.6771
7259,7179881017,4995,2003.0,mercedes-benz,clk-class,excellent,8 cylinders,gas,145116.0,automatic,convertible,34.3457,-119.072
7328,7190635512,22000,1960.0,volkswagen,karmann ghia,excellent,4 cylinders,gas,10000.0,manual,convertible,36.2019,-79.7101
7357,7193233345,4500,1990.0,mazda,miata,good,4 cylinders,gas,285000.0,manual,convertible,35.3876,-111.385
7398,7189094874,17500,1927.0,ford,model-t roadster pu,good,8 cylinders,gas,824.0,manual,convertible,43.7982,-123.06
7423,7191455754,3500,2006.0,chrysler,pt cruiser,like new,4 cylinders,gas,118000.0,automatic,convertible,35.8651,-80.8858
7425,7189053932,5950,1997.0,ford,mustang gt convertible,excellent,8 cylinders,gas,115000.0,manual,convertible,43.7982,-123.06
7459,7180445160,18000,2016.0,ford,mustang convertible,good,4 cylinders,gas,98000.0,other,convertible,35.9593,-80.8511
7487,7193499610,5900,1998.0,chevrolet,camaro,excellent,6 cylinders,gas,57000.0,automatic,convertible,43.2196,-77.4616
7490,7193483499,15900,1994.0,ford,mustang gt convertible,like new,8 cylinders,gas,15987.0,manual,convertible,42.9866,-77.418
7529,7194438176,5800,1989.0,chevrolet,corvette convertible,good,8 cylinders,gas,100419.0,automatic,convertible,43.0552,-75.8768
7570,7194551494,3500,2007.0,chrysler,pt cruiser,good,4 cylinders,gas,93940.0,automatic,convertible,26.1897,-80.1085
7592,7188486076,6000,2001.0,mercedes-benz,sl500,good,8 cylinders,gas,133000.0,automatic,convertible,28.3537,-80.6835
7649,7181673857,14500,2005.0,mercedes-benz,benz sl500,excellent,8 cylinders,gas,67313.0,automatic,convertible,28.3134,-80.7319
7653,7189748567,7995,2009.0,chrysler,sebring,excellent,6 cylinders,gas,89142.0,automatic,convertible,29.7248,-82.0471
